"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40","TC12: verify Operational Distribution chart percentages","Nirvana Underwriter Portal - Fleet Module","2026-09-25","passed","2026-09-25","","","",""
"","215","TC10: verify Projected Information Content with i icon","Nirvana Underwriter Portal - Fleet Module","2026-09-25","passed","2026-09-25","","","",""
"","87","TC11: verify Operational Distribution, Customers/Shippers, and Start & End Zones sections","Nirvana Underwriter Portal - Fleet Module","2026-09-25","passed","2026-09-25","","","",""
"","10635","TC06: search application by number, open it, and verify application number and company name","Nirvana Underwriter Portal - Fleet Module","2026-09-25","passed","2026-09-25","","","",""
"","7","TC02: verify 'Ready for Review' tab is selected by default on home screen","Nirvana Underwriter Portal - Fleet Module","2026-09-25","passed","2026-09-25","","","",""
"","276","TC03: verify all key UI elements are visible on the home screen","Nirvana Underwriter Portal - Fleet Module","2026-09-25","passed","2026-09-25","","","",""
"","1258","TC07: verify Application Overview tabs and Operations screen widgets","Nirvana Underwriter Portal - Fleet Module","2026-09-25","passed","2026-09-25","","","",""
"","1002","TC05: verify navigation across all application status tabs","Nirvana Underwriter Portal - Fleet Module","2026-09-25","passed","2026-09-25","","","",""
"","4164","TC01: verify Fleet Applications heading is visible","Nirvana Underwriter Portal - Fleet Module","2026-09-25","passed","2026-09-25","","","",""
"","36","TC09: verify Projected Information Content","Nirvana Underwriter Portal - Fleet Module","2026-09-25","passed","2026-09-25","","","",""
"","311","TC04: verify Logout button is displayed when clicking profile section","Nirvana Underwriter Portal - Fleet Module","2026-09-25","passed","2026-09-25","","","",""
"","1659","TC08: verify Years in Buiness Content","Nirvana Underwriter Portal - Fleet Module","2026-09-25","passed","2026-09-25","","","",""
